,x,y,z
81,-9.714031460646094,-7.679353661387284,30.872505824926463
82,-9.510563680720214,-7.323524005231164,30.795213833569864
83,-9.29185971317131,-6.98444817352489,30.670516545531676
84,-9.061118559206667,-6.666463040761809,30.501621230340586
85,-8.821653007362181,-6.373123544770746,30.29230078402729
86,-8.576800061103038,-6.107173488271108,30.046720941303406
87,-8.329837403819845,-5.8705585904440785,29.76927510900902
88,-8.083909522482267,-5.66447526473293,29.464435758048747
89,-7.841966096707334,-5.489446850390063,29.136628526491844
90,-7.606714172075607,-5.345418358193168,28.79013232668975
91,-7.380584590687364,-5.231861066938777,28.4290061604541
92,-7.165712238312505,-5.147879293697814,28.057041261221315
93,-6.963928943851036,-5.092313088124612,27.677735710817473
94,-6.776767358278393,-5.063832213353444,27.29428782358443
95,-6.605473843785898,-5.061018363634636,26.909604276801367
96,-6.451028295770771,-5.082433984287936,26.526319073659085
97,-6.314168864622488,-5.126677217992685,26.146819819468462
98,-6.1954196999595075,-5.1924233717772355,25.77327834763749
99,-6.095120067141281,-5.2784538899731945,25.40768334551421
100,-6.013453449424472,-5.383674163684872,25.05187322524972
101,-5.950475520850512,-5.50712165327765,24.707568012278276
102,-5.906140134093226,-5.647965796214907,24.3763994578326
103,-5.880322700305394,-5.805501064172926,24.059938913607173
104,-5.872840536692147,-5.979134360000254,23.75972273952068
105,-5.883469919022957,-6.1683677382218205,23.477275159570844
106,-5.911959700942844,-6.372777216346431,23.214128549021954
107,-5.958041452483203,-6.591988235703717,22.9718411419093
108,-6.021436130805254,-6.825648142408429,22.752012103084432
109,-6.101857331965571,-7.073395900349506,22.556293823744134
110,-6.199011188803965,-7.334829125792542,22.386401181475385
111,-6.312592982502823,-7.609468453389525,22.24411736149024
112,-6.442280529591493,-7.896719212375295,22.1312956701116
113,-6.587724397869873,-8.195830416635236,22.049856589870657
114,-6.748534999746409,-8.50585116160622,22.001779134105494
115,-6.92426661593239,-8.82558468448714,21.989085366530013
116,-7.114398422787865,-9.153540592919827,22.013816770724663
117,-7.318312639801061,-9.487886112239385,22.078001004410606
118,-7.535269987044893,-9.826397652140102,22.1836074795616
119,-7.764382753554414,-10.16641455554002,22.332490206529357
120,-8.004585933752974,-10.504797562944862,22.526316472760435
121,-8.254607096672164,-10.837895288994986,22.7664802482462
122,-8.512935915904446,-11.161522828939045,23.053999781948246
123,-8.777794607207905,-11.470957429612895,23.389399740096252
124,-9.047110889448405,-11.76095687629051,23.77257949634536
125,-9.318495488132616,-12.02580672825652,24.202670853367696
126,-9.589226612145007,-12.259402606172431,24.677890554662024
127,-9.856244211547748,-12.455373183127639,25.195395370405457
128,-10.116157108705737,-12.607248132757576,25.751150158916666
129,-10.36526621111092,-12.70867283449287,26.339821849539682
130,-10.599606873449115,-12.75366799102185,26.954714371412948
131,-10.815012985206389,-12.73692747844652,27.587760657168502
132,-11.007204434530403,-12.654141942119411,28.22958740035432
133,-11.171898185289303,-12.502329368185293,28.869665676016275
134,-11.304941303578902,-12.280147910626495,29.496555432459026
135,-11.402461964283662,-11.988161718305216,30.098244134215783
136,-11.461031939685817,-11.629028611800397,30.662569870783262
137,-11.477831606897276,-11.207580342375472,31.177708024369355
138,-11.450806480445095,-10.73077256295574,31.632689675958417
139,-11.37880308869616,-10.207492572497078,32.017911284640284
140,-11.26167203707625,-9.648227433414387,32.32559079716761
141,-11.100327576710065,-9.064611309837275,32.55012677351882
142,-10.896755950022786,-8.468886219722725,32.6883249418391
143,-10.65396897699278,-7.873322030469244,32.73947013977168
144,-10.375904282340427,-7.28964713179944,32.705238889296034
145,-10.067278567286328,-6.728539577072632,32.58946599449736
146,-9.733404668264958,-6.199219854884979,32.39779439071144
147,-9.37998618692696,-5.709172531809927,32.13724836171052
148,-9.012904821415257,-5.264007481644519,31.815774666936505
149,-8.638015087438182,-4.867455267897412,31.44179399326433
150,-8.260959105484105,-4.521478030801725,31.02379767385923
151,-7.8870109980158665,-4.2264685612236175,30.570013853644298
152,-7.520956754336641,-3.9815066003239243,30.088155524465172
153,-7.167011738935369,-3.784642260362368,29.585252100060856
154,-6.828774791078069,-3.6331806336556633,29.067557799136114
155,-6.509215375335828,-3.523947709451512,28.540524647717895
